23803 200802  1.302  -89.4348   34.8223    13.7     0.2     7.0     7.0 -9999.0    10.3 R    19.3    -0.2     7.2
23803 200803  1.302  -89.4348   34.8223    17.7     3.5    10.6    10.7   262.9    15.2 R    25.4     2.1    10.8
23803 200804  1.302  -89.4348   34.8223    21.5     7.6    14.6    14.7   195.6    18.5 R    32.4     7.0    16.4
23803 200805  1.302  -89.4348   34.8223    25.7    13.2    19.4    19.8   257.1    21.6 R    33.5    12.5    21.1
23803 200806  1.302  -89.4348   34.8223    30.0    18.2    24.1    24.3    34.1    25.0 R    38.5    17.1    25.8
23803 200807  1.302  -89.4348   34.8223    32.6    18.7    25.7    25.6    46.3    23.0 R    42.5    17.6    27.1
23803 200808  1.302  -89.4348   34.8223    30.1    18.6    24.4    24.0   113.2    18.5 R    39.1    17.4    25.3
23803 200809  1.302  -89.4348   34.8223    27.3    15.5    21.4    21.0    60.4    15.8 R    34.5    14.1    21.5
23803 200810  1.302  -89.4348   34.8223    22.0     7.1    14.6    14.2   135.5    13.9 R    29.7     5.3    14.3
23803 200811  1.302  -89.4348   34.8223    14.9     1.2     8.0     7.9    68.6     9.5 R    23.7    -0.4     8.0
23803 200812  1.302  -89.4348   34.8223    11.4    -0.8     5.3     5.3   201.1     6.3 R    15.4    -2.2     5.0
23803 200901  1.302  -89.4348   34.8223     9.0    -2.9     3.1     3.2    56.0     7.7 R    16.4    -4.6     3.4
23803 200902  1.302  -89.4348   34.8223    13.8     0.1     6.9     7.2   107.6    11.4 R    23.8    -2.7     7.2
23803 200903  1.302  -89.4348   34.8223    17.6     5.2    11.4    11.3   177.5    12.3 R    26.4     3.3    11.6
23803 200904  1.302  -89.4348   34.8223    22.0     8.2    15.1    15.3    90.3    17.6 R    33.0     6.0    16.1
23803 200905  1.302  -89.4348   34.8223    25.2    14.9    20.0    20.0   208.1    17.3 R    34.9    13.4    21.2
23803 200906  2.402  -89.4348   34.8223    30.7    18.0    24.4    24.6    69.2    23.3 R    41.2    15.9    26.1
23803 200907  2.402  -89.4348   34.8223    29.2    18.4    23.8    23.8   228.6    20.8 R    42.8    17.0    26.4
23803 200908  2.402  -89.4348   34.8223    29.6    17.9    23.8    23.7    30.3    21.8 R    42.8    16.2    25.7
23803 200909  2.402  -89.4348   34.8223    26.8    17.2    22.0    21.6   212.9    12.9 R    34.7    16.1    22.5
23803 200910  2.402  -89.4348   34.8223    19.6     8.7    14.1    14.1   193.6    10.1 R    26.4     8.0    14.9
23803 200911  2.402  -89.4348   34.8223    17.7     3.0    10.3    10.0    88.7    10.4 R    23.8     1.5     9.8
23803 200912  2.402  -89.4348   34.8223     8.9    -1.2     3.8     3.8   167.5     6.5 R    13.9    -2.5     3.9
23803 201001  2.402  -89.4348   34.8223     6.7    -4.6     1.1     1.1   134.6     8.8 R    12.9    -5.5     1.4
23803 201002  2.402  -89.4348   34.8223     7.4    -4.2     1.6     1.5    99.4    10.9 R    14.8    -5.7     2.1
23803 201003  2.402  -89.4348   34.8223    16.3     2.2     9.2     9.3   106.6    14.2 R    24.2     1.0     9.8
23803 201004  2.402  -89.4348   34.8223    24.5     8.7    16.6    16.8   102.1    20.6 R    35.5     6.6    17.9
23803 201005  2.402  -89.4348   34.8223    27.3    15.4    21.3    21.2   291.3    20.6 R    38.7    14.7    23.4
23803 201006  2.402  -89.4348   34.8223    32.1    20.7    26.4    26.1    29.4    22.7 R    40.8    20.0    27.9
23803 201007  2.402  -89.4348   34.8223    32.5    21.1    26.8    26.5   164.7    22.5 R    42.5    20.3    28.5
23803 201008  2.402  -89.4348   34.8223    33.3    21.6    27.5    27.0    64.3    20.9 R    42.1    20.8    28.6
23803 201009  2.402  -89.4348   34.8223    30.8    14.2    22.5    22.3    19.0    18.5 R    39.0    12.3    22.7
23803 201010  2.402  -89.4348   34.8223    25.4     5.5    15.5    14.8    47.0    16.0 R    38.3     2.9    15.5
23803 201011  2.402  -89.4348   34.8223    17.9     2.5    10.2    10.0   142.0     9.3 R    27.2     0.3    10.1
23803 201012  2.402  -89.4348   34.8223     8.7    -2.9     2.9     2.9    52.7     7.4 R    16.9    -5.1     3.1
23803 201101  2.402  -89.4348   34.8223     7.8    -3.6     2.1     2.5    69.7     7.7 R    12.8    -6.8     1.7
23803 201102  2.402  -89.4348   34.8223    13.4     0.3     6.9     7.0    84.6     9.9 R    21.4    -2.7     6.9
23803 201103  2.402  -89.4348   34.8223    17.7     5.0    11.4    11.3   113.5    12.2 R    24.3     3.1    11.6
23803 201104  2.402  -89.4348   34.8223    24.9    10.4    17.7    17.9   319.2    19.0 R    35.1     8.8    19.4
23803 201105  2.402  -89.4348   34.8223    25.8    12.5    19.2    19.4    73.5    21.5 R    37.0    11.2    21.4
23803 201106  2.402  -89.4348   34.8223    32.2    19.3    25.8    25.9   115.6    24.6 R    41.5    18.2    27.8
23803 201107  2.402  -89.4348   34.8223    33.2    21.3    27.2    26.8    42.5    22.7 R    45.8    20.6    29.6
23803 201108  2.402  -89.4348   34.8223    33.8    19.1    26.5    26.2    33.8    21.0 R    48.3    18.1    28.9
23803 201109  2.402  -89.4348   34.8223    27.6    12.7    20.1    19.9   126.9    16.6 R    38.9    11.3    21.5
23803 201110  2.402  -89.4348   34.8223    22.3     5.1    13.7    13.2    33.0    15.0 R    31.7     3.5    14.0
23803 201111  2.402  -89.4348   34.8223    17.7     4.9    11.3    11.4   116.5     8.9 R    23.0     3.5    11.4
23803 201112  2.402  -89.4348   34.8223    12.7     0.1     6.4     6.2   175.9     7.1 R    17.8    -1.1     6.3
23803 201201  2.402  -89.4348   34.8223    14.3     0.4     7.4     7.4    98.2     8.3 R    19.6    -1.0     7.3
23803 201202  2.402  -89.4348   34.8223    13.7     0.3     7.0     7.9    60.4     9.8 R    20.4    -1.4     8.1
23803 201203  2.402  -89.4348   34.8223    23.6     8.5    16.0    16.3   132.5    15.2 R    30.6     6.9    16.4
23803 201204  2.402  -89.4348   34.8223    24.1     8.9    16.5    16.4    95.0    20.0 R    41.0     7.7    19.6
23803 201205  2.402  -89.4348   34.8223    28.4    14.1    21.3    21.3    95.1    22.2 R    44.0    13.4    24.8
23803 201206  2.402  -89.4348   34.8223    30.6    15.2    22.9    23.3    52.6    23.6 R    41.7    14.2    25.7
23803 201207  2.402  -89.4348   34.8223    33.0    20.8    26.9    26.5    61.1    20.1 R    47.6    20.2    29.5
23803 201208  2.402  -89.4348   34.8223    32.0    18.5    25.2    25.0    56.6    18.8 R    43.1    17.6    26.9
23803 201209  2.402  -89.4348   34.8223    27.9    14.4    21.1    21.0   129.5    17.0 R    38.7    13.5    22.7
23803 201210  2.402  -89.4348   34.8223    21.0     7.2    14.1    13.8   139.5    13.8 R    29.4     5.9    14.5
23803 201211  2.412  -89.4348   34.8223    16.4    -0.7     7.9     7.5    47.3    11.6 R    24.3    -2.2     8.0
23803 201212  2.412  -89.4348   34.8223    14.2     2.5     8.3     8.3   161.4     6.5 C    17.5     1.5     8.5
23803 201301  2.412  -89.4348   34.8223    11.6     0.2     5.9     5.7   214.7     7.4 C    15.2    -0.6     6.1
