63898 200710  1.302  -86.5707   38.8882    20.9    10.4    15.7    15.5 -9999.0    11.0 R    27.5     9.0    15.8
63898 200711  1.302  -86.5707   38.8882    11.6     1.2     6.4     6.6    33.6     8.5 R    14.4     0.3     6.0
63898 200712  1.302  -86.5707   38.8882     6.0    -1.6     2.2     2.1   169.1     4.6 R     7.2    -2.2     1.9
63898 200801  1.302  -86.5707   38.8882     3.6    -6.3    -1.3    -1.1    80.8     6.4 R     4.3    -6.8    -1.3
63898 200802  1.302  -86.5707   38.8882     3.9    -4.1    -0.1    -0.1   135.5     7.5 R     5.9    -4.1     0.2
63898 200803  1.302  -86.5707   38.8882    10.2     0.8     5.5     5.4   325.4    11.0 R    13.9    -0.3     5.4
63898 200804  1.302  -86.5707   38.8882    17.9     6.3    12.1    12.3    98.1    17.8 R    20.2     5.2    11.8
63898 200805  1.302  -86.5707   38.8882    20.3    10.0    15.2    15.5   260.1    18.4 R    23.8     9.2    15.6
63898 200806  1.302  -86.5707   38.8882    27.7    17.0    22.3    22.5   133.2    23.5 R    30.2    16.2    22.2
63898 200807  1.302  -86.5707   38.8882    27.8    18.0    22.9    23.1   111.3    22.7 R    32.6    17.5    23.9
63898 200808  1.302  -86.5707   38.8882    28.0    17.1    22.5    22.4    36.0    22.5 R    34.2    16.3    23.6
63898 200809  1.302  -86.5707   38.8882    26.1    14.3    20.2    19.9    49.3    15.6 R    31.7    13.5    20.7
63898 200810  1.302  -86.5707   38.8882    19.3     6.9    13.1    13.0    66.0    13.8 R    24.4     5.8    13.4
63898 200811  1.302  -86.5707   38.8882    10.2     0.7     5.5     5.5    69.4     7.6 R    13.4    -0.1     5.4
63898 200812  1.302  -86.5707   38.8882     6.3    -4.4     1.0     0.5   162.3     4.7 R     6.4    -5.1     0.1
63898 200901  1.302  -86.5707   38.8882     1.0    -8.6    -3.8    -3.7    71.7     6.9 R     3.6    -9.7    -3.5
